 NOFB 35M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 36INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 36OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 36ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 36M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 37INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 37OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 37ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 37M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 38INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 38OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 38ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 38M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 39INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 39OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 39ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 39M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 40INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 40OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 40ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 40M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 41INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 41OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 41ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 41M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 42INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 42OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 42ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 42M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 43INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 43OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 43ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 43M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 44INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 44OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 44ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 44M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 45INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 45OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 45ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 45M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 46INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 46OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 46ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 46M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 47INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 47OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 47ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 47M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 48INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 48OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 48ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 48M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 49INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 49OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
